source_group,target_group,beta,target_assignment_rate,target_minus_source_similarity,invariant_violation_score,rsm_pearson,mean_relative_perturbation_norm,success_minus_violation,success_minus_perturbation,balanced_validity_score,validity_score_lambda_0,validity_score_lambda_1,validity_score_lambda_5,validity_score_lambda_10,validity_score_lambda_20,validity_score_lambda_50,validity_score_lambda_100
logic,definition,2.0,1.0,0.27893504460911,0.003325213412989636,0.9966747865870104,0.9467310309410095,0.9966747865870104,0.05326896905899048,0.9020016834929094,1.0,0.9966747865870104,0.9833739329350518,0.9667478658701036,0.9334957317402073,0.8337393293505182,0.6674786587010364
causality,logic,0.0,0.0,-0.12295531055961206,1.1102230246251565e-16,0.9999999999999999,0.0,-1.1102230246251565e-16,0.0,-1.1102230246251565e-16,0.0,-1.1102230246251565e-16,-5.551115123125783e-16,-1.1102230246251565e-15,-2.220446049250313e-15,-5.551115123125783e-15,-1.1102230246251565e-14
causality,logic,0.25,0.0,-0.06719115188163283,0.0006702913147303979,0.9993297086852696,0.11487782001495361,-0.0006702913147303979,-0.11487782001495361,-0.01215807331622576,0.0,-0.0006702913147303979,-0.0033514565736519897,-0.006702913147303979,-0.013405826294607959,-0.0335145657365199,-0.0670291314730398
causality,logic,0.5,0.3333333333333333,-0.006555193315109231,0.0028643820008027454,0.9971356179991973,0.22975564002990723,0.33046895133253057,0.10357769330342609,0.30749338732953985,0.3333333333333333,0.33046895133253057,0.3190114233293196,0.30468951332530586,0.2760456933172784,0.19011423329319604,0.046895133253058774
causality,logic,0.75,1.0,0.05685242880491126,0.006512560265031331,0.9934874397349687,0.34463346004486084,0.9934874397349687,0.6553665399551392,0.9590240937304826,1.0,0.9934874397349687,0.9674371986748433,0.9348743973496867,0.8697487946993734,0.6743719867484335,0.3487439734968669
causality,logic,1.0,1.0,0.12027428333727297,0.010969698952701834,0.9890303010472982,0.45951128005981445,0.9890303010472982,0.5404887199401855,0.9430791730413167,1.0,0.9890303010472982,0.9451515052364908,0.8903030104729817,0.7806060209459633,0.4515150523649083,-0.0969698952701834
causality,logic,1.5,1.0,0.2361467145272047,0.01815771106523323,0.9818422889347668,0.6892669200897217,0.9818422889347668,0.3107330799102783,0.9129155969257946,1.0,0.9818422889347668,0.9092114446738339,0.8184228893476677,0.6368457786953354,0.09211444673833857,-0.8157711065233229
causality,logic,2.0,1.0,0.3261323960803684,0.019154513856628586,0.9808454861433714,0.9190225601196289,0.9808454861433714,0.0809774398803711,0.8889432301314085,1.0,0.9808454861433714,0.9042274307168571,0.8084548614337141,0.6169097228674283,0.042274307168570724,-0.9154513856628586
causality,analogy,0.0,0.0,-0.151844650005326,1.1102230246251565e-16,0.9999999999999999,0.0,-1.1102230246251565e-16,0.0,-1.1102230246251565e-16,0.0,-1.1102230246251565e-16,-5.551115123125783e-16,-1.1102230246251565e-15,-2.220446049250313e-15,-5.551115123125783e-15,-1.1102230246251565e-14
causality,analogy,0.25,0.0,-0.08041261817194134,0.0003855172357196679,0.9996144827642803,0.12931765615940094,-0.0003855172357196679,-0.12931765615940094,-0.013317282851659763,0.0,-0.0003855172357196679,-0.0019275861785983395,-0.003855172357196679,-0.007710344714393358,-0.019275861785983395,-0.03855172357196679
causality,analogy,0.5,0.5,-0.003612146007281436,0.00161559546335599,0.998384404536644,0.2586353123188019,0.498384404536644,0.24136468768119812,0.47252087330476383,0.5,0.498384404536644,0.49192202268322005,0.4838440453664401,0.4676880907328802,0.4192202268322005,0.338440453664401
causality,analogy,0.75,1.0,0.07478028839741724,0.003597561196052479,0.9964024388039475,0.3879530131816864,0.9964024388039475,0.6120469868183136,0.9576071374857789,1.0,0.9964024388039475,0.9820121940197376,0.9640243880394752,0.9280487760789504,0.820121940197376,0.6402438803947521
causality,analogy,1.0,1.0,0.1505116744395142,0.005962772811260786,0.9940372271887392,0.5172706246376038,0.9940372271887392,0.48272937536239624,0.9423101647249789,1.0,0.9940372271887392,0.9701861359436961,0.9403722718873921,0.8807445437747843,0.7018613594369607,0.4037227188739214
causality,analogy,1.5,1.0,0.28076582150160945,0.01003621004556321,0.9899637899544368,0.7759060263633728,0.9899637899544368,0.2240939736366272,0.9123731873180995,1.0,0.9899637899544368,0.949818949772184,0.8996378995443679,0.7992757990887358,0.4981894977218395,-0.0036210045563209725
causality,analogy,2.0,1.0,0.3747841373290806,0.011996740720265797,0.9880032592797342,1.0345412492752075,0.9880032592797342,-0.03454124927520752,0.8845491343522134,1.0,0.9880032592797342,0.940016296398671,0.880032592797342,0.7600651855946841,0.40016296398671014,-0.19967407202657972
causality,definition,0.0,0.0,-0.06734471115172791,1.1102230246251565e-16,0.9999999999999999,0.0,-1.1102230246251565e-16,0.0,-1.1102230246251565e-16,0.0,-1.1102230246251565e-16,-5.551115123125783e-16,-1.1102230246251565e-15,-2.220446049250313e-15,-5.551115123125783e-15,-1.1102230246251565e-14
causality,definition,0.25,0.0,-0.035028452247032105,3.484304827294782e-05,0.999965156951727,0.08651947975158691,-3.484304827294782e-05,-0.08651947975158691,-0.00868679102343164,0.0,-3.484304827294782e-05,-0.0001742152413647391,-0.0003484304827294782,-0.0006968609654589564,-0.001742152413647391,-0.003484304827294782
causality,definition,0.5,0.6666666666666666,-0.001370462041174303,0.00016229115561960938,0.9998377088443804,0.17303895950317383,0.666504375511047,0.4936277071634928,0.6492004795607297,0.6666666666666666,0.666504375511047,0.6658552108885686,0.6650437551104705,0.6634208435542744,0.6585521088856862,0.6504375511047057
causality,definition,0.75,1.0,0.03289958140003357,0.0004214930977544107,0.9995785069022456,0.25955843925476074,0.9995785069022456,0.7404415607452393,0.9736226629767695,1.0,0.9995785069022456,0.997892534511228,0.9957850690224559,0.9915701380449118,0.9789253451122795,0.9578506902245589
causality,definition,1.0,1.0,0.06696947856752489,0.0008490714899591634,0.9991509285100408,0.34607791900634766,0.9991509285100408,0.6539220809936523,0.964543136609406,1.0,0.9991509285100408,0.9957546425502042,0.9915092851004084,0.9830185702008167,0.9575464255020418,0.9150928510040837
causality,definition,1.5,1.0,0.13140141037187592,0.0022686387658038543,0.9977313612341961,0.5191168785095215,0.9977313612341961,0.4808831214904785,0.945819673383244,1.0,0.9977313612341961,0.9886568061709807,0.9773136123419615,0.9546272246839229,0.8865680617098073,0.7731361234196146
causality,definition,2.0,1.0,0.18708860514641723,0.004286965533553233,0.9957130344664468,0.6921558380126953,0.9957130344664468,0.3078441619873047,0.9264974506651772,1.0,0.9957130344664468,0.9785651723322338,0.9571303446644677,0.9142606893289353,0.7856517233223383,0.5713034466446767
analogy,logic,0.0,0.0,-0.10390271771627235,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
analogy,logic,0.25,0.16666666666666666,-0.05501666104828118,0.0001817327115424261,0.9998182672884576,0.10777639597654343,0.16648493395512423,0.05889027069012323,0.15570729435746988,0.16666666666666666,0.16648493395512423,0.16575800310895453,0.1648493395512424,0.16303201243581814,0.15758003108954535,0.14849339551242405
analogy,logic,0.5,0.3333333333333333,-0.003099377250346036,0.0008179320978076721,0.9991820679021923,0.21555279195308685,0.33251540123552564,0.11778054138024646,0.31096012204021695,0.3333333333333333,0.33251540123552564,0.32924367284429495,0.3251540123552566,0.3169746913771799,0.2924367284429497,0.2515401235525661
analogy,logic,0.75,1.0,0.05015532527101296,0.001975150913399726,0.9980248490866003,0.32332921028137207,0.9980248490866003,0.6766707897186279,0.965691928058463,1.0,0.9980248490866003,0.9901242454330014,0.9802484908660027,0.9604969817320055,0.9012424543300137,0.8024849086600274
analogy,logic,1.0,1.0,0.10277684332167847,0.003593687273410362,0.9964063127265896,0.4311055839061737,0.9964063127265896,0.5688944160938263,0.9532957543359722,1.0,0.9964063127265896,0.9820315636329482,0.9640631272658964,0.9281262545317928,0.8203156363294819,0.6406312726589638
analogy,logic,1.5,1.0,0.1988794421002762,0.007458290159297887,0.9925417098407021,0.6466584205627441,0.9925417098407021,0.35334157943725586,0.9278758677844277,1.0,0.9925417098407021,0.9627085492035106,0.9254170984070211,0.8508341968140423,0.6270854920351057,0.2541709840702113
analogy,logic,2.0,1.0,0.27557767148537926,0.010795786820302244,0.9892042131796978,0.8622111678123474,0.9892042131796978,0.1377888321876526,0.902983096398463,1.0,0.9892042131796978,0.9460210658984888,0.8920421317969776,0.7840842635939551,0.4602106589848878,-0.07957868203022445
analogy,causality,0.0,0.0,-0.15387069575139423,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
