model,layer,normalized_depth,beta,mean_target_assignment_rate,mean_target_minus_source_similarity,mean_relative_perturbation_norm,pairs_assignment_ge_0_5,pairs_assignment_eq_1,mean_ivs,mean_rsm_pearson,median_assignment,min_assignment,max_assignment,median_ivs,max_ivs,efficiency,validity_score
Qwen/Qwen3-1.7B,24,0.8571428571428571,0.5,0.4305555555555555,-0.000385750123380324,0.16963643270234266,8,0,0.0005779479251943054,0.9994220520748055,0.5,0.16666666666666666,0.5,0.00031708489065962464,0.0018661686579382053,2.5381076654091475,0.41301396436012694
Qwen/Qwen3-1.7B,24,0.8571428571428571,0.75,0.9583333333333335,0.030279743850675372,0.2544546462595463,12,9,0.0012464278492997916,0.9987535721507003,1.0,0.8333333333333334,1.0,0.0007586200842463198,0.004323016954391523,3.7662243930636663,0.931641440858079
Qwen/Qwen3-1.7B,24,0.8571428571428571,1.0,1.0,0.06024465961700581,0.3392728654046853,12,12,0.00211519669830032,0.9978848033016995,1.0,1.0,1.0,0.0014390301888609347,0.007706912579557135,2.9474799563837757,0.9639575167612312
Qwen/Qwen3-1.7B,24,0.8571428571428571,1.25,1.0,0.08887351847767948,0.4240910659233729,12,12,0.0031466179167997377,0.9968533820832004,1.0,1.0,1.0,0.0026506819307399176,0.011757983647367798,2.3579840670372545,0.954444275490863
Qwen/Qwen3-1.7B,24,0.8571428571428571,1.5,1.0,0.11566475928636233,0.5089092925190926,12,12,0.004301728394835354,0.9956982716051647,1.0,1.0,1.0,0.0037171284090097845,0.016128405226115472,1.9649866784710293,0.9448073423532554
Qwen/Qwen3-1.7B,28,1.0,0.25,0.06944444444444443,-0.019097999509588764,0.06607286042223375,0,0,0.00010220920463002714,0.9998977907953699,0.0,0.0,0.3333333333333333,2.7191787946578838e-05,0.0003644614522323453,1.0510281148777842,0.06273494919759104
Qwen/Qwen3-1.7B,28,1.0,0.5,0.4305555555555556,-0.00042363098592288856,0.1321457208444675,7,0,0.0004089169150527187,0.9995910830849475,0.5,0.16666666666666666,0.6666666666666666,0.00010785557861631156,0.0014912173805068374,3.2581874026812843,0.4169320665560561
Qwen/Qwen3-1.7B,28,1.0,0.75,0.8750000000000001,0.018273346406932355,0.19821858406066895,12,7,0.0009076374836303932,0.9990923625163696,1.0,0.5,1.0,0.000238340781617441,0.0033842965214669896,4.414318465664165,0.8542705041103028
Qwen/Qwen3-1.7B,28,1.0,1.0,1.0,0.03671186473705009,0.264291441688935,12,12,0.0015703262582938877,0.9984296737417061,1.0,1.0,1.0,0.00040914390444884985,0.005969492351802663,3.7837016430519186,0.9720005295728126
Qwen/Qwen3-1.7B,28,1.0,1.25,1.0,0.05463018708162507,0.33036431421836215,12,12,0.002357256755160325,0.9976427432448398,1.0,1.0,1.0,0.0005978202476945027,0.009106535280425043,3.0269612264156773,0.9646063118230035
Qwen/Qwen3-1.7B,28,1.0,1.5,1.0,0.07180505733384314,0.3964371681213379,12,12,0.003222765237973694,0.9967772347620262,1.0,1.0,1.0,0.0008121318230131513,0.012608300314100096,2.522467758293671,0.9571335179498925
google/gemma-3-1b-it,4,0.15384615384615385,0.25,0.23611111111111108,-0.0010705774535051764,0.01989620892951886,3,0,1.2021591683240388e-05,0.9999879784083165,0.16666666666666666,0.0,0.5,1.2364481835058783e-06,5.1988346339015834e-05,11.86713475296589,0.23410946862647597
google/gemma-3-1b-it,4,0.15384615384615385,0.5,0.375,0.0001408966509177841,0.03979241785903772,6,0,4.852520622532682e-05,0.9999514747937747,0.41666666666666663,0.16666666666666666,0.6666666666666666,4.9490119805040145e-06,0.00021089246335004308,9.423903495620195,0.3709722330078709
google/gemma-3-1b-it,4,0.15384615384615385,0.75,0.40277777777777785,0.0013519862588436127,0.059688630513846874,7,0,0.00011011431523696065,0.9998898856847629,0.5,0.16666666666666666,0.6666666666666666,1.1172205113652023e-05,0.0004807416963629185,6.747980424924227,0.39669880041115624
google/gemma-3-1b-it,4,0.15384615384615385,1.0,0.4305555555555556,0.002562463935223238,0.07958483571807544,8,0,0.00019730681949346277,0.9998026931805065,0.5,0.16666666666666666,0.6666666666666666,1.9931963882169335e-05,0.0008650159310471528,5.410019353191598,0.42239976516425454
google/gemma-3-1b-it,4,0.15384615384615385,1.25,0.48611111111111116,0.003772082419851913,0.09948105147729318,8,0,0.00031052011700246257,0.9996894798829974,0.5,0.16666666666666666,0.8333333333333334,3.1260544382683e-05,0.0013665997223494264,4.8864688805322745,0.4758524858463794
google/gemma-3-1b-it,4,0.15384615384615385,1.5,0.6944444444444445,0.004980561730218723,0.11937726102769375,11,3,0.00045005744973788026,0.9995499425502622,0.6666666666666666,0.3333333333333333,1.0,4.51932912314823e-05,0.001987748312055615,5.817224991542517,0.6820566608919373
google/gemma-3-1b-it,8,0.3076923076923077,0.25,0.09722222222222222,-0.0015236503884077102,0.023634119269748528,1,0,0.00028077380419055015,0.9997192261958094,0.0,0.0,0.5,0.000221095668292981,0.0007438358782109189,4.113636729010609,0.09457803649105682
google/gemma-3-1b-it,8,0.3076923076923077,0.5,0.44444444444444436,0.00021261890532986438,0.047268238539497055,7,0,0.001153620972359289,0.9988463790276407,0.5,0.3333333333333333,0.6666666666666666,0.00099947678421769,0.002856286320283008,9.40260022693816,0.4385639996181354
google/gemma-3-1b-it,8,0.3076923076923077,0.75,0.8055555555555555,0.0019478335291764997,0.07090235656748216,12,5,0.0026666541215314607,0.9973333458784684,0.8333333333333334,0.5,1.0,0.0025837114038582687,0.006168180220537334,11.361476274404163,0.7957986657772758
google/gemma-3-1b-it,8,0.3076923076923077,1.0,0.9722222222222222,0.0036812909656162387,0.09453647707899411,12,11,0.0048606517801936255,0.9951393482198064,1.0,0.6666666666666666,1.0,0.004922245423560789,0.010527265484659543,10.284095086057507,0.9579079227341293
google/gemma-3-1b-it,8,0.3076923076923077,1.25,1.0,0.0054122336755321465,0.1181705966591835,12,12,0.007759957660575957,0.9922400423394242,1.0,1.0,1.0,0.007707845489724918,0.016670454857412254,8.462341256181459,0.9804229826735057
google/gemma-3-1b-it,8,0.3076923076923077,1.5,1.0,0.007139806013032861,0.14180471313496432,12,12,0.011368440610609135,0.988631559389391,1.0,1.0,1.0,0.01103562603625674,0.024401440311911382,7.051951288309616,0.9744510880758944
google/gemma-3-1b-it,12,0.46153846153846156,0.25,0.09722222222222222,-0.0011017841231767318,0.020059304622312386,1,0,7.158196254931452e-05,0.9999284180374506,0.0,0.0,0.5,5.5775181616035674e-05,0.00018107442208448177,4.846736992403517,0.09514470979744166
google/gemma-3-1b-it,12,0.46153846153846156,0.5,0.44444444444444436,-1.0241711016943192e-05,0.04011860924462477,8,0,0.00027526104358097103,0.9997247389564191,0.5,0.16666666666666666,0.6666666666666666,0.00021725457861998532,0.0006857939054280004,11.078258744011798,0.44015732247640094
google/gemma-3-1b-it,12,0.46153846153846156,0.75,0.875,0.0010813004854631862,0.060177912625173725,12,9,0.0005981383158069434,0.9994018616841932,1.0,0.5,1.0,0.0004758874019835657,0.001461595075202271,14.540216109652954,0.8683840704216758
google/gemma-3-1b-it,12,0.46153846153846156,1.0,1.0,0.0021729519665261987,0.08023721848924954,12,12,0.0010334238765198251,0.9989665761234803,1.0,1.0,1.0,0.000862475463702328,0.002462792649844281,12.463042640287401,0.9909428542745552
google/gemma-3-1b-it,12,0.46153846153846156,1.25,1.0,0.0032648114660030945,0.10029652776817481,12,12,0.0015820161782200137,0.99841798382178,1.0,1.0,1.0,0.0014513939885951177,0.0036503054751026998,9.970433897841994,0.9883883310449625
google/gemma-3-1b-it,12,0.46153846153846156,1.5,1.0,0.004356955598848707,0.12035582525034745,12,12,0.0022541498765482337,0.9977458501234517,1.0,1.0,1.0,0.0022478766304480646,0.00499119238359369,8.30869561014586,0.985710267598417
google/gemma-3-1b-it,16,0.6153846153846154,0.25,0.041666666666666664,-0.004751178869157796,0.03471185592934489,0,0,2.5109109434632664e-05,0.9999748908905656,0.0,0.0,0.3333333333333333,1.5586536590783684e-05,8.284827744553525e-05,1.200358020265407,0.038170371964297546
