model,layer,normalized_depth,source_group,target_group,beta,delta_norm,mean_target_assignment_rate,mean_target_minus_source_similarity,mean_relative_perturbation_norm,ivs,rsm_pearson
Qwen/Qwen3-1.7B,8,0.2857142857142857,logic,analogy,1.5,22.35238717987528,1.0,0.16629363230119143,0.6364460587501526,0.003071615281448614,0.9969283847185514
Qwen/Qwen3-1.7B,8,0.2857142857142857,logic,definition,0.25,23.906019115628776,0.0,-0.04843711153845898,0.11344718188047409,5.893333071504969e-05,0.999941066669285
Qwen/Qwen3-1.7B,8,0.2857142857142857,logic,definition,0.5,23.906019115628776,0.6666666666666666,0.004261083358101492,0.22689436376094818,0.0001985932017481984,0.9998014067982518
Qwen/Qwen3-1.7B,8,0.2857142857142857,logic,definition,0.75,23.906019115628776,1.0,0.055041650389503594,0.34034156799316406,0.00036554287548518083,0.9996344571245148
Qwen/Qwen3-1.7B,8,0.2857142857142857,logic,definition,1.0,23.906019115628776,1.0,0.10236136275496943,0.45378872752189636,0.0005227712000218654,0.9994772287999781
Qwen/Qwen3-1.7B,8,0.2857142857142857,logic,definition,1.25,23.906019115628776,1.0,0.14523893226170248,0.5672359466552734,0.0006551767080060777,0.9993448232919939
Qwen/Qwen3-1.7B,8,0.2857142857142857,logic,definition,1.5,23.906019115628776,1.0,0.1832555624531047,0.6806831359863281,0.0007642124926431348,0.9992357875073569
Qwen/Qwen3-1.7B,8,0.2857142857142857,causality,logic,0.25,25.96626096055063,0.0,-0.06405654095247959,0.11354514956474304,0.00013941044764320676,0.9998605895523568
Qwen/Qwen3-1.7B,8,0.2857142857142857,causality,logic,0.5,25.96626096055063,0.3333333333333333,-0.006757417690989476,0.22709029912948608,0.0006155336156321578,0.9993844663843678
Qwen/Qwen3-1.7B,8,0.2857142857142857,causality,logic,0.75,25.96626096055063,1.0,0.053765855860734235,0.34063541889190674,0.0014872191074005725,0.9985127808925994
Qwen/Qwen3-1.7B,8,0.2857142857142857,causality,logic,1.0,25.96626096055063,1.0,0.11495531615292265,0.45418059825897217,0.0027455300593858256,0.9972544699406142
Qwen/Qwen3-1.7B,8,0.2857142857142857,causality,logic,1.25,25.96626096055063,1.0,0.17397859824558892,0.567725658416748,0.004291660816878373,0.9957083391831216
Qwen/Qwen3-1.7B,8,0.2857142857142857,causality,logic,1.5,25.96626096055063,1.0,0.22834434689902217,0.6812708377838135,0.00595448202258031,0.9940455179774197
Qwen/Qwen3-1.7B,8,0.2857142857142857,causality,analogy,0.25,24.238890831537834,0.0,-0.052195475009373604,0.10599171370267868,0.0001532526674256074,0.9998467473325744
Qwen/Qwen3-1.7B,8,0.2857142857142857,causality,analogy,0.5,24.238890831537834,0.5,-0.0025206191755802188,0.21198342740535736,0.0006580303571445123,0.9993419696428555
Qwen/Qwen3-1.7B,8,0.2857142857142857,causality,analogy,0.75,24.238890831537834,1.0,0.04834978545859048,0.31797513365745544,0.0015314273574056347,0.9984685726425944
Qwen/Qwen3-1.7B,8,0.2857142857142857,causality,analogy,1.0,24.238890831537834,1.0,0.09856609774671743,0.4239668548107147,0.0027073171760970682,0.9972926828239029
Qwen/Qwen3-1.7B,8,0.2857142857142857,causality,analogy,1.25,24.238890831537834,1.0,0.1463558857766304,0.5299585461616516,0.004047756230588284,0.9959522437694117
Qwen/Qwen3-1.7B,8,0.2857142857142857,causality,analogy,1.5,24.238890831537834,1.0,0.19031943146504215,0.6359502673149109,0.00538753347543941,0.9946124665245606
