model,layer,split,source_group,target_group,beta,intervention_type,rsm_pearson,invariant_violation_score,rsm_frobenius_distance,ivs_advantage_vs_random
Qwen/Qwen3-1.7B,16,A_original_fit_paraphrase_eval,causality,definition,0.75,opposite,0.9999551659330491,4.483406695088288e-05,0.07263933720234336,-0.00032723205366769204
Qwen/Qwen3-1.7B,16,A_original_fit_paraphrase_eval,causality,definition,1.0,task,0.9992026707026114,0.000797329297388627,0.034157811632972025,-0.0006155193240883206
Qwen/Qwen3-1.7B,16,A_original_fit_paraphrase_eval,causality,definition,1.0,matched_random,0.9998181900266997,0.00018180997330030646,0.06743806668256616,-0.0006155193240883206
Qwen/Qwen3-1.7B,16,A_original_fit_paraphrase_eval,causality,definition,1.0,opposite,0.9999644203528256,3.557964717437745e-05,0.10544294221913258,-0.0006155193240883206
Qwen/Qwen3-1.7B,16,A_original_fit_paraphrase_eval,analogy,logic,0.5,task,0.9995775095965096,0.00042249040349040534,0.01465059310016806,-0.0003876228746750865
Qwen/Qwen3-1.7B,16,A_original_fit_paraphrase_eval,analogy,logic,0.5,matched_random,0.9999651324711847,3.486752881531885e-05,0.036116641849133706,-0.0003876228746750865
Qwen/Qwen3-1.7B,16,A_original_fit_paraphrase_eval,analogy,logic,0.5,opposite,0.9998943597857848,0.00010564021421521907,0.07718367306672458,-0.0003876228746750865
Qwen/Qwen3-1.7B,16,A_original_fit_paraphrase_eval,analogy,logic,0.75,task,0.9989060506186113,0.0010939493813887369,0.01781817164906058,-0.0009655378656303615
Qwen/Qwen3-1.7B,16,A_original_fit_paraphrase_eval,analogy,logic,0.75,matched_random,0.9998715884842416,0.0001284115157583754,0.07473451690643843,-0.0009655378656303615
Qwen/Qwen3-1.7B,16,A_original_fit_paraphrase_eval,analogy,logic,0.75,opposite,0.999853666456946,0.00014633354305404467,0.12489816634161624,-0.0009655378656303615
Qwen/Qwen3-1.7B,16,A_original_fit_paraphrase_eval,analogy,logic,1.0,task,0.9979605659698165,0.0020394340301834735,0.05323577006745346,-0.0017346694814943664
Qwen/Qwen3-1.7B,16,A_original_fit_paraphrase_eval,analogy,logic,1.0,matched_random,0.9996952354513109,0.0003047645486891071,0.11906216721574008,-0.0017346694814943664
Qwen/Qwen3-1.7B,16,A_original_fit_paraphrase_eval,analogy,logic,1.0,opposite,0.9998450969949984,0.00015490300500164977,0.1715894949975279,-0.0017346694814943664
Qwen/Qwen3-1.7B,16,A_original_fit_paraphrase_eval,analogy,causality,0.5,task,0.9984098519936274,0.0015901480063725826,0.02757527838581087,-0.0015752408052659428
Qwen/Qwen3-1.7B,16,A_original_fit_paraphrase_eval,analogy,causality,0.5,matched_random,0.9999850927988934,1.4907201106639789e-05,0.054940312386429394,-0.0015752408052659428
Qwen/Qwen3-1.7B,16,A_original_fit_paraphrase_eval,analogy,causality,0.5,opposite,0.9996555287298771,0.0003444712701229369,0.07942051948899387,-0.0015752408052659428
Qwen/Qwen3-1.7B,16,A_original_fit_paraphrase_eval,analogy,causality,0.75,task,0.9962419953447222,0.003758004655277758,0.07442960061051168,-0.0036656313744808378
Qwen/Qwen3-1.7B,16,A_original_fit_paraphrase_eval,analogy,causality,0.75,matched_random,0.9999076267192031,9.23732807969202e-05,0.10775515073499274,-0.0036656313744808378
Qwen/Qwen3-1.7B,16,A_original_fit_paraphrase_eval,analogy,causality,0.75,opposite,0.9995969031240804,0.0004030968759195508,0.13589380625191164,-0.0036656313744808378
Qwen/Qwen3-1.7B,16,A_original_fit_paraphrase_eval,analogy,causality,1.0,task,0.9937229175494288,0.006277082450571236,0.13015776321817413,-0.00601183708912878
Qwen/Qwen3-1.7B,16,A_original_fit_paraphrase_eval,analogy,causality,1.0,matched_random,0.9997347546385575,0.0002652453614424566,0.16326428627854014,-0.00601183708912878
Qwen/Qwen3-1.7B,16,A_original_fit_paraphrase_eval,analogy,causality,1.0,opposite,0.9996576452949321,0.00034235470506793764,0.19078268603603865,-0.00601183708912878
Qwen/Qwen3-1.7B,16,A_original_fit_paraphrase_eval,analogy,definition,0.5,task,0.9990273251665927,0.0009726748334073498,0.02207582013508422,-0.000967880595466597
Qwen/Qwen3-1.7B,16,A_original_fit_paraphrase_eval,analogy,definition,0.5,matched_random,0.9999952057620592,4.7942379407528435e-06,0.048089306862288524,-0.000967880595466597
Qwen/Qwen3-1.7B,16,A_original_fit_paraphrase_eval,analogy,definition,0.5,opposite,0.9997564144295892,0.0002435855704108203,0.07809354038323518,-0.000967880595466597
Qwen/Qwen3-1.7B,16,A_original_fit_paraphrase_eval,analogy,definition,0.75,task,0.9976912005089627,0.00230879949103735,0.06478378931275053,-0.002261634095889198
Qwen/Qwen3-1.7B,16,A_original_fit_paraphrase_eval,analogy,definition,0.75,matched_random,0.9999528346048518,4.71653951481521e-05,0.09768894350610037,-0.002261634095889198
Qwen/Qwen3-1.7B,16,A_original_fit_paraphrase_eval,analogy,definition,0.75,opposite,0.999684898768999,0.0003151012310009804,0.1326652158411293,-0.002261634095889198
Qwen/Qwen3-1.7B,16,A_original_fit_paraphrase_eval,analogy,definition,1.0,task,0.9961165273362874,0.003883472663712584,0.11786426091943213,-0.0037257262845969974
Qwen/Qwen3-1.7B,16,A_original_fit_paraphrase_eval,analogy,definition,1.0,matched_random,0.9998422536208844,0.00015774637911558642,0.1513346367362463,-0.0037257262845969974
Qwen/Qwen3-1.7B,16,A_original_fit_paraphrase_eval,analogy,definition,1.0,opposite,0.9996925782817042,0.00030742171829578613,0.18600825795276246,-0.0037257262845969974
Qwen/Qwen3-1.7B,16,A_original_fit_paraphrase_eval,definition,logic,0.5,task,0.9990520438447289,0.0009479561552711013,0.01723648723132263,-0.0006049077948346859
Qwen/Qwen3-1.7B,16,A_original_fit_paraphrase_eval,definition,logic,0.5,matched_random,0.9996569516395636,0.0003430483604364154,0.03157887426342682,-0.0006049077948346859
Qwen/Qwen3-1.7B,16,A_original_fit_paraphrase_eval,definition,logic,0.5,opposite,0.9974119548326531,0.0025880451673468974,0.0937001606168103,-0.0006049077948346859
Qwen/Qwen3-1.7B,16,A_original_fit_paraphrase_eval,definition,logic,0.75,task,0.9989455269187734,0.0010544730812266367,0.01139890896796793,0.00025610842067791406
