source_group,target_group,beta,lambda,gamma,target_assignment_rate,invariant_violation_score,rsm_pearson,mean_relative_perturbation_norm,constraint_score
logic,causality,0.5,20.0,0.1,0.6666666666666666,0.0002430622287096229,0.9997569377712904,0.25177711248397827,0.6366277108440763
logic,causality,0.75,20.0,0.1,1.0,0.0006648109043912998,0.9993351890956087,0.3776656687259674,0.9489372150395773
logic,causality,1.0,20.0,0.1,1.0,0.0013348962997651315,0.9986651037002349,0.5035542249679565,0.9229466515079017
logic,causality,1.5,20.0,0.1,1.0,0.003209841938985103,0.9967901580610149,0.7553313374519348,0.8602700274751045
logic,causality,2.0,20.0,0.1,1.0,0.0052384763098977105,0.9947615236901023,1.007108449935913,0.7945196288084545
logic,causality,0.0,20.0,0.2,0.0,0.0,1.0,0.0,0.0
logic,causality,0.25,20.0,0.2,0.0,4.647624630560454e-05,0.9999535237536944,0.12588855624198914,-0.02610723617450992
logic,causality,0.5,20.0,0.2,0.6666666666666666,0.0002430622287096229,0.9997569377712904,0.25177711248397827,0.6114499995956785
logic,causality,0.75,20.0,0.2,1.0,0.0006648109043912998,0.9993351890956087,0.3776656687259674,0.9111706481669806
logic,causality,1.0,20.0,0.2,1.0,0.0013348962997651315,0.9986651037002349,0.5035542249679565,0.8725912290111061
logic,causality,1.5,20.0,0.2,1.0,0.003209841938985103,0.9967901580610149,0.7553313374519348,0.784736893729911
logic,causality,2.0,20.0,0.2,1.0,0.0052384763098977105,0.9947615236901023,1.007108449935913,0.6938087838148632
logic,causality,0.0,50.0,0.0,0.0,0.0,1.0,0.0,0.0
logic,causality,0.25,50.0,0.0,0.0,4.647624630560454e-05,0.9999535237536944,0.12588855624198914,-0.002323812315280227
logic,causality,0.5,50.0,0.0,0.6666666666666666,0.0002430622287096229,0.9997569377712904,0.25177711248397827,0.6545135552311855
logic,causality,0.75,50.0,0.0,1.0,0.0006648109043912998,0.9993351890956087,0.3776656687259674,0.966759454780435
logic,causality,1.0,50.0,0.0,1.0,0.0013348962997651315,0.9986651037002349,0.5035542249679565,0.9332551850117434
logic,causality,1.5,50.0,0.0,1.0,0.003209841938985103,0.9967901580610149,0.7553313374519348,0.8395079030507449
logic,causality,2.0,50.0,0.0,1.0,0.0052384763098977105,0.9947615236901023,1.007108449935913,0.7380761845051145
logic,causality,0.0,50.0,0.05,0.0,0.0,1.0,0.0,0.0
logic,causality,0.25,50.0,0.05,0.0,4.647624630560454e-05,0.9999535237536944,0.12588855624198914,-0.008618240127379684
logic,causality,0.5,50.0,0.05,0.6666666666666666,0.0002430622287096229,0.9997569377712904,0.25177711248397827,0.6419246996069866
logic,causality,0.75,50.0,0.05,1.0,0.0006648109043912998,0.9993351890956087,0.3776656687259674,0.9478761713441366
logic,causality,1.0,50.0,0.05,1.0,0.0013348962997651315,0.9986651037002349,0.5035542249679565,0.9080774737633456
logic,causality,1.5,50.0,0.05,1.0,0.003209841938985103,0.9967901580610149,0.7553313374519348,0.8017413361781481
logic,causality,2.0,50.0,0.05,1.0,0.0052384763098977105,0.9947615236901023,1.007108449935913,0.6877207620083188
logic,causality,0.0,50.0,0.1,0.0,0.0,1.0,0.0,0.0
logic,causality,0.25,50.0,0.1,0.0,4.647624630560454e-05,0.9999535237536944,0.12588855624198914,-0.014912667939479141
logic,causality,0.5,50.0,0.1,0.6666666666666666,0.0002430622287096229,0.9997569377712904,0.25177711248397827,0.6293358439827876
logic,causality,0.75,50.0,0.1,1.0,0.0006648109043912998,0.9993351890956087,0.3776656687259674,0.9289928879078383
logic,causality,1.0,50.0,0.1,1.0,0.0013348962997651315,0.9986651037002349,0.5035542249679565,0.8828997625149477
logic,causality,1.5,50.0,0.1,1.0,0.003209841938985103,0.9967901580610149,0.7553313374519348,0.7639747693055514
logic,causality,2.0,50.0,0.1,1.0,0.0052384763098977105,0.9947615236901023,1.007108449935913,0.6373653395115232
logic,causality,0.0,50.0,0.2,0.0,0.0,1.0,0.0,0.0
logic,causality,0.25,50.0,0.2,0.0,4.647624630560454e-05,0.9999535237536944,0.12588855624198914,-0.027501523563678056
logic,causality,0.5,50.0,0.2,0.6666666666666666,0.0002430622287096229,0.9997569377712904,0.25177711248397827,0.6041581327343898
logic,causality,0.75,50.0,0.2,1.0,0.0006648109043912998,0.9993351890956087,0.3776656687259674,0.8912263210352416
logic,causality,1.0,50.0,0.2,1.0,0.0013348962997651315,0.9986651037002349,0.5035542249679565,0.8325443400181521
logic,causality,1.5,50.0,0.2,1.0,0.003209841938985103,0.9967901580610149,0.7553313374519348,0.6884416355603579
logic,causality,2.0,50.0,0.2,1.0,0.0052384763098977105,0.9947615236901023,1.007108449935913,0.5366544945179319
logic,causality,0.0,100.0,0.0,0.0,0.0,1.0,0.0,0.0
logic,causality,0.25,100.0,0.0,0.0,4.647624630560454e-05,0.9999535237536944,0.12588855624198914,-0.004647624630560454
logic,causality,0.5,100.0,0.0,0.6666666666666666,0.0002430622287096229,0.9997569377712904,0.25177711248397827,0.6423604437957043
logic,causality,0.75,100.0,0.0,1.0,0.0006648109043912998,0.9993351890956087,0.3776656687259674,0.93351890956087
logic,causality,1.0,100.0,0.0,1.0,0.0013348962997651315,0.9986651037002349,0.5035542249679565,0.8665103700234869
