source_group,target_group,beta,delta_norm,mean_source_similarity,mean_target_similarity,mean_target_minus_source_similarity,target_assignment_rate,relative_perturbation_norm
causality,analogy,1.5,69.6762003843974,0.34532772215676766,0.816556829749086,0.4712291075923184,1.0,0.9750984311103821
causality,analogy,2.0,69.6762003843974,0.1626277329839587,0.7627543230464163,0.6001265900624576,1.0,1.3001313209533691
causality,definition,-1.0,52.302126872288426,0.8273792913909684,0.4820148137051852,-0.34536447768578327,0.0,0.48796892166137695
causality,definition,-0.5,52.302126872288426,0.853306455426808,0.593395207992133,-0.2599112474346751,0.0,0.24398446083068848
causality,definition,0.0,52.302126872288426,0.8503004409871003,0.7066692542359636,-0.14363118675113673,0.0,0.0
causality,definition,0.25,52.302126872288426,0.8315268882921663,0.75648655789279,-0.0750403303993763,0.0,0.12199223041534424
causality,definition,0.5,52.302126872288426,0.7990707248664662,0.7968969076794202,-0.002173817187046012,0.5,0.24398446083068848
causality,definition,0.75,52.302126872288426,0.7533023266383302,0.8250504688415047,0.07174814220317449,1.0,0.3659766614437103
causality,definition,1.0,52.302126872288426,0.6964778432962971,0.8397145760710246,0.14323673277472748,1.0,0.48796892166137695
causality,definition,1.5,52.302126872288426,0.5645075617422506,0.8325512433355654,0.2680436815933148,1.0,0.7319533228874207
causality,definition,2.0,52.302126872288426,0.4320912318276892,0.7933986619390588,0.3613074301113696,1.0,0.9759378433227539
analogy,logic,-1.0,45.95569827196907,0.806857489297894,0.4856440201807674,-0.3212134691171266,0.0,0.4749925434589386
analogy,logic,-0.5,45.95569827196907,0.8444070261021229,0.6102813183687089,-0.234125707733414,0.0,0.2374962717294693
analogy,logic,0.0,45.95569827196907,0.8511828870246984,0.7285633889841164,-0.12261949804058192,0.0,0.0
analogy,logic,0.25,45.95569827196907,0.8385465082044372,0.7779694978499844,-0.06057701035445284,0.5,0.11874813586473465
analogy,logic,0.5,45.95569827196907,0.8145612932820069,0.8174186384286406,0.0028573451466337163,0.5,0.2374962717294693
analogy,logic,0.75,45.95569827196907,0.7802243426673116,0.8454909853005156,0.06526664263320403,0.6666666666666666,0.35624441504478455
analogy,logic,1.0,45.95569827196907,0.7375560616264064,0.8620113383420865,0.12445527671568013,1.0,0.4749925434589386
analogy,logic,1.5,45.95569827196907,0.6377890378393942,0.8650016337575335,0.22721259591813925,1.0,0.7124888300895691
analogy,logic,2.0,45.95569827196907,0.5350596066064627,0.840828041199971,0.30576843459350833,1.0,0.9499850869178772
analogy,causality,-1.0,69.6762003843974,0.7784018103203821,0.1687989969990337,-0.6096028133213485,0.0,0.7201647758483887
analogy,causality,-0.5,69.6762003843974,0.8379534494698637,0.357654065870695,-0.48029938359916874,0.0,0.36008238792419434
analogy,causality,0.0,69.6762003843974,0.8511828870246984,0.5842386243772798,-0.26694426264741855,0.0,0.0
analogy,causality,0.25,69.6762003843974,0.8231209426656162,0.6917458859567773,-0.13137505670883887,0.16666666666666666,0.18004119396209717
analogy,causality,0.5,69.6762003843974,0.7683163051891001,0.7799837712777399,0.011667466088639777,0.5,0.36008238792419434
analogy,causality,0.75,69.6762003843974,0.6919305333922375,0.8413581445469019,0.1494276111546644,0.8333333333333334,0.5401235222816467
analogy,causality,1.0,69.6762003843974,0.6037091776471234,0.8751903571467371,0.2714811794996137,1.0,0.7201647758483887
analogy,causality,1.5,69.6762003843974,0.4291292293201747,0.8822660058323487,0.453136776512174,1.0,1.0802470445632935
analogy,causality,2.0,69.6762003843974,0.28779883645724763,0.8513760159763756,0.563577179519128,1.0,1.4403295516967773
analogy,definition,-1.0,56.62173336114752,0.7943066316186179,0.34318224467659936,-0.45112438694201856,0.0,0.5852353572845459
analogy,definition,-0.5,56.62173336114752,0.8419350872114274,0.5001096073313026,-0.3418254798801248,0.0,0.29261767864227295
analogy,definition,0.0,56.62173336114752,0.8511828870246984,0.6663940270863945,-0.18478885993830385,0.0,0.0
analogy,definition,0.25,56.62173336114752,0.8320140076499255,0.740141720094848,-0.09187228755507748,0.16666666666666666,0.14630883932113647
analogy,definition,0.5,56.62173336114752,0.7951023539187395,0.7998625858985436,0.00476023197980413,0.5,0.29261767864227295
analogy,definition,0.75,56.62173336114752,0.7426376732643282,0.841963787985473,0.09932611472114483,0.6666666666666666,0.4389265477657318
analogy,definition,1.0,56.62173336114752,0.6792246227982847,0.8659271844786568,0.18670256168037214,1.0,0.5852353572845459
