source_group,target_group,beta,rsm_pearson,invariant_violation_score,rsm_frobenius_distance
analogy,definition,1.0,0.9563943514147262,0.043605648585273826,0.2326693933002763
analogy,definition,1.5,0.9339002378190268,0.06609976218097324,0.5835312381272519
analogy,definition,2.0,0.9264780028960236,0.07352199710397644,0.9186623583714946
definition,logic,-1.0,0.9886824553714535,0.011317544628546505,0.762523024328764
definition,logic,-0.5,0.9951038084407614,0.004896191559238594,0.3683400232377195
definition,logic,0.0,0.9999999999999999,1.1102230246251565e-16,0.0
definition,logic,0.25,0.9978351375954305,0.0021648624045694786,0.1339619765743809
definition,logic,0.5,0.9905595345807452,0.009440465419254807,0.21645456681370512
definition,logic,0.75,0.9780892449851304,0.02191075501486961,0.2473424585371993
definition,logic,1.0,0.9617646505291862,0.03823534947081375,0.24719942683576457
definition,logic,1.5,0.9259569945599331,0.07404300544006692,0.34272732333458616
definition,logic,2.0,0.8965880732737431,0.10341192672625688,0.6341825950319354
definition,causality,-1.0,0.9946692957081951,0.005330704291804933,0.6754900504013401
definition,causality,-0.5,0.9988468146701883,0.001153185329811679,0.2994465518056675
definition,causality,0.0,0.9999999999999999,1.1102230246251565e-16,0.0
definition,causality,0.25,0.9996654849384564,0.00033451506154358324,0.07481979192805865
definition,causality,0.5,0.9983188592603018,0.0016811407396981615,0.08587389094454018
definition,causality,0.75,0.9952759940085208,0.004724005991479152,0.06355895360733257
definition,causality,1.0,0.9900441886243729,0.009955811375627066,0.13990489588280539
definition,causality,1.5,0.9739385740259892,0.026061425974010843,0.4688710216941423
definition,causality,2.0,0.9553765552896291,0.04462344471037094,0.8279317454650355
definition,analogy,-1.0,0.9940168761127162,0.005983123887283837,0.9236921898025412
definition,analogy,-0.5,0.9971052940962627,0.0028947059037373046,0.4769710967259671
definition,analogy,0.0,0.9999999999999999,1.1102230246251565e-16,0.0
definition,analogy,0.25,0.9981482427786488,0.0018517572213512246,0.19404027010373798
definition,analogy,0.5,0.9910058820387335,0.008994117961266479,0.32270624553383903
definition,analogy,0.75,0.977413619330643,0.02258638066935703,0.3724732194204091
definition,analogy,1.0,0.9586222270870784,0.04137777291292155,0.35428169221078043
definition,analogy,1.5,0.9175391397779665,0.08246086022203347,0.34452137234857605
definition,analogy,2.0,0.8869382624692436,0.11306173753075643,0.6494011259428558
