source_group,target_group,beta,mean_similarity_to_source,mean_similarity_to_target,target_minus_source_similarity,target_assignment_rate,mean_relative_perturbation_norm,rsm_pearson,rsm_spearman,invariant_violation_score,rsm_frobenius_distance
analogy,logic,0.25,0.9191752505578273,0.8641585895095462,-0.05501666104828118,0.16666666666666666,0.10777639597654343,0.9998182672884576,0.9964285714285712,0.0001817327115424261,0.05808664862720617
analogy,logic,0.5,0.8976883529498886,0.8945889756995425,-0.003099377250346036,0.3333333333333333,0.21555279195308685,0.9991820679021923,0.9892857142857142,0.0008179320978076721,0.09493071001027294
analogy,logic,0.75,0.864446975449291,0.914602300720304,0.05015532527101296,1.0,0.32332921028137207,0.9980248490866003,0.982142857142857,0.001975150913399726,0.10594195083062624
analogy,logic,1.0,0.8202478040121396,0.9230246473338181,0.10277684332167847,1.0,0.4311055839061737,0.9964063127265896,0.982142857142857,0.003593687273410362,0.09101020871350543
analogy,logic,1.5,0.7077525940862502,0.9066320361865264,0.1988794421002762,1.0,0.6466584205627441,0.9925417098407021,0.9428571428571427,0.007458290159297887,0.05640561915349807
analogy,logic,2.0,0.5823281607508741,0.8579058322362534,0.27557767148537926,1.0,0.8622111678123474,0.9892042131796978,0.907142857142857,0.010795786820302244,0.1902392622030483
analogy,causality,0.0,0.929368805176412,0.7754981094250177,-0.15387069575139423,0.0,0.0,1.0,1.0,0.0,0.0
analogy,causality,0.25,0.9167064474012623,0.8400038114357827,-0.07670263596547955,0.0,0.13734905421733856,0.9997856507437638,0.9964285714285712,0.0002143492562362015,0.03436724906266695
analogy,causality,0.5,0.8862744998198918,0.889588405032787,0.0033139052128952073,0.3333333333333333,0.2746981084346771,0.9991193667520638,0.9892857142857142,0.0008806332479361911,0.03230124696584136
analogy,causality,0.75,0.8397898492721604,0.9214941549913115,0.0817043057191511,1.0,0.4120471775531769,0.9980890077081264,0.982142857142857,0.0019109922918736366,0.031870868809043724
analogy,causality,1.0,0.7813864933236636,0.9358704315556344,0.15448393823197082,1.0,0.5493962168693542,0.9968982237981772,0.982142857142857,0.0031017762018228368,0.09716620879568327
analogy,causality,1.5,0.649244225444619,0.9235569867551031,0.2743127613104841,1.0,0.8240943551063538,0.9948120620096762,0.9714285714285713,0.005187937990323799,0.27798731147356676
analogy,causality,2.0,0.5226185256784859,0.8812568890608872,0.3586383633824013,1.0,1.0987924337387085,0.9936293356612216,0.9428571428571427,0.00637066433877842,0.4489223784495293
analogy,definition,0.0,0.929368805176412,0.7934439919413007,-0.1359248132351113,0.0,0.0,1.0,1.0,0.0,0.0
analogy,definition,0.25,0.9176113815464197,0.847996133683241,-0.06961524786317874,0.0,0.12605497241020203,0.9997756350562481,0.9964285714285712,0.00022436494375188687,0.04522299151200719
analogy,definition,0.5,0.890596096712413,0.8905293192391465,-6.677747326655492e-05,0.3333333333333333,0.25210994482040405,0.999041467704997,0.9892857142857142,0.0009585322950029784,0.058693230468470345
analogy,definition,0.75,0.848909951948246,0.9183500734950657,0.06944012154681967,1.0,0.3781648874282837,0.9978244878305115,0.982142857142857,0.002175512169488525,0.04243766448794267
analogy,definition,1.0,0.7951945990642364,0.930824483738907,0.13562988467467063,1.0,0.5042198896408081,0.9963008372810567,0.982142857142857,0.0036991627189433274,0.04293833542470377
analogy,definition,1.5,0.6678991431479996,0.9168193323108392,0.24892018916283964,1.0,0.7563297748565674,0.993279043877819,0.9357142857142854,0.006720956122181043,0.19163756935938336
analogy,definition,2.0,0.5391012800566526,0.8712146251238037,0.33211334506715107,1.0,1.0084397792816162,0.9912614562264824,0.9249999999999998,0.00873854377351757,0.36282477223803605
definition,logic,0.0,0.9058222153358145,0.7912403025537071,-0.11458191278210739,0.0,0.0,0.9999999999999998,1.0,2.220446049250313e-16,0.0
