source_group,target_group,beta,target_assignment_rate,target_minus_source_similarity,invariant_violation_score,rsm_pearson,mean_relative_perturbation_norm
causality,logic,1.0,1.0,0.12027428333727297,0.010969698952701834,0.9890303010472982,0.45951128005981445
causality,logic,1.5,1.0,0.2361467145272047,0.01815771106523323,0.9818422889347668,0.6892669200897217
causality,logic,2.0,1.0,0.3261323960803684,0.019154513856628586,0.9808454861433714,0.9190225601196289
causality,analogy,0.0,0.0,-0.151844650005326,1.1102230246251565e-16,0.9999999999999999,0.0
causality,analogy,0.25,0.0,-0.08041261817194134,0.0003855172357196679,0.9996144827642803,0.12931765615940094
causality,analogy,0.5,0.5,-0.003612146007281436,0.00161559546335599,0.998384404536644,0.2586353123188019
causality,analogy,0.75,1.0,0.07478028839741724,0.003597561196052479,0.9964024388039475,0.3879530131816864
causality,analogy,1.0,1.0,0.1505116744395142,0.005962772811260786,0.9940372271887392,0.5172706246376038
causality,analogy,1.5,1.0,0.28076582150160945,0.01003621004556321,0.9899637899544368,0.7759060263633728
causality,analogy,2.0,1.0,0.3747841373290806,0.011996740720265797,0.9880032592797342,1.0345412492752075
causality,definition,0.0,0.0,-0.06734471115172791,1.1102230246251565e-16,0.9999999999999999,0.0
causality,definition,0.25,0.0,-0.035028452247032105,3.484304827294782e-05,0.999965156951727,0.08651947975158691
causality,definition,0.5,0.6666666666666666,-0.001370462041174303,0.00016229115561960938,0.9998377088443804,0.17303895950317383
causality,definition,0.75,1.0,0.03289958140003357,0.0004214930977544107,0.9995785069022456,0.25955843925476074
causality,definition,1.0,1.0,0.06696947856752489,0.0008490714899591634,0.9991509285100408,0.34607791900634766
causality,definition,1.5,1.0,0.13140141037187592,0.0022686387658038543,0.9977313612341961,0.5191168785095215
causality,definition,2.0,1.0,0.18708860514641723,0.004286965533553233,0.9957130344664468,0.6921558380126953
analogy,logic,0.0,0.0,-0.10390271771627235,0.0,1.0,0.0
analogy,logic,0.25,0.16666666666666666,-0.05501666104828118,0.0001817327115424261,0.9998182672884576,0.10777639597654343
analogy,logic,0.5,0.3333333333333333,-0.003099377250346036,0.0008179320978076721,0.9991820679021923,0.21555279195308685
analogy,logic,0.75,1.0,0.05015532527101296,0.001975150913399726,0.9980248490866003,0.32332921028137207
analogy,logic,1.0,1.0,0.10277684332167847,0.003593687273410362,0.9964063127265896,0.4311055839061737
analogy,logic,1.5,1.0,0.1988794421002762,0.007458290159297887,0.9925417098407021,0.6466584205627441
analogy,logic,2.0,1.0,0.27557767148537926,0.010795786820302244,0.9892042131796978,0.8622111678123474
analogy,causality,0.0,0.0,-0.15387069575139423,0.0,1.0,0.0
analogy,causality,0.25,0.0,-0.07670263596547955,0.0002143492562362015,0.9997856507437638,0.13734905421733856
analogy,causality,0.5,0.3333333333333333,0.0033139052128952073,0.0008806332479361911,0.9991193667520638,0.2746981084346771
analogy,causality,0.75,1.0,0.0817043057191511,0.0019109922918736366,0.9980890077081264,0.4120471775531769
analogy,causality,1.0,1.0,0.15448393823197082,0.0031017762018228368,0.9968982237981772,0.5493962168693542
analogy,causality,1.5,1.0,0.2743127613104841,0.005187937990323799,0.9948120620096762,0.8240943551063538
analogy,causality,2.0,1.0,0.3586383633824013,0.00637066433877842,0.9936293356612216,1.0987924337387085
analogy,definition,0.0,0.0,-0.1359248132351113,0.0,1.0,0.0
analogy,definition,0.25,0.0,-0.06961524786317874,0.00022436494375188687,0.9997756350562481,0.12605497241020203
analogy,definition,0.5,0.3333333333333333,-6.677747326655492e-05,0.0009585322950029784,0.999041467704997,0.25210994482040405
analogy,definition,0.75,1.0,0.06944012154681967,0.002175512169488525,0.9978244878305115,0.3781648874282837
analogy,definition,1.0,1.0,0.13562988467467063,0.0036991627189433274,0.9963008372810567,0.5042198896408081
analogy,definition,1.5,1.0,0.24892018916283964,0.006720956122181043,0.993279043877819,0.7563297748565674
analogy,definition,2.0,1.0,0.33211334506715107,0.00873854377351757,0.9912614562264824,1.0084397792816162
definition,logic,0.0,0.0,-0.11458191278210739,2.220446049250313e-16,0.9999999999999998,0.0
definition,logic,0.25,0.0,-0.06075461600926435,0.0003661471400157046,0.9996338528599843,0.1114862859249115
definition,logic,0.5,0.5,-0.0034256477558968212,0.0017470356033819634,0.998252964396618,0.222972571849823
definition,logic,0.75,1.0,0.05536415025268482,0.004489160842186646,0.9955108391578134,0.3344588279724121
definition,logic,1.0,1.0,0.11324747671919233,0.008650116265985996,0.991349883734014,0.445945143699646
definition,logic,1.5,1.0,0.21784709093596077,0.01946333005175449,0.9805366699482455,0.6689176559448242
definition,logic,2.0,1.0,0.2997863116895366,0.029167040328107463,0.9708329596718925,0.891890287399292
definition,causality,0.0,0.0,-0.06653335139376426,2.220446049250313e-16,0.9999999999999998,0.0
definition,causality,0.25,0.16666666666666666,-0.03263621096735492,0.0006277625895364514,0.9993722374104635,0.08932002633810043
definition,causality,0.5,0.5,0.0014475436235557027,0.00255001956314016,0.9974499804368598,0.17864005267620087
definition,causality,0.75,1.0,0.0349239001018844,0.00563945696506063,0.9943605430349394,0.2679600417613983
definition,causality,1.0,1.0,0.06707920853319804,0.009569497063512844,0.9904305029364872,0.35728010535240173
definition,causality,1.5,1.0,0.12534335580343814,0.01830149942929149,0.9816985005707085,0.5359200835227966
definition,causality,2.0,1.0,0.1738578904331035,0.026044871284214954,0.973955128715785,0.7145602107048035
definition,analogy,0.0,0.0,-0.13266862530031864,2.220446049250313e-16,0.9999999999999998,0.0
definition,analogy,0.25,0.0,-0.06802571439408389,0.0005493951964831156,0.9994506048035169,0.1225256398320198
definition,analogy,0.5,0.6666666666666666,-0.00023507911075193455,0.0023973826868903814,0.9976026173131096,0.2450512796640396
definition,analogy,0.75,1.0,0.0676382115090508,0.005575501420701512,0.9944244985792985,0.3675769567489624
definition,analogy,1.0,1.0,0.13250785578373325,0.009672991807504805,0.9903270081924952,0.4901025593280792
definition,analogy,1.5,1.0,0.2444250097439955,0.017852375289939992,0.98214762471006,0.7351539134979248
definition,analogy,2.0,1.0,0.3276493263060124,0.02304075098193359,0.9769592490180664,0.9802051186561584
